profile_id,profile_url,rating,rating_band,chart_id,song_id,title,displayed_title,difficulty,level,internal_level,chart_type,achievement,rank,chart_rating,calculated_chart_rating,best50_section,category,song_version,chart_version,is_new
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Blows Up Everything__dx__remaster,Blows Up Everything,Blows Up Everything,Blows Up Everything,remaster,14,14.3,dx,100.5198,SSS+,321,321,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,SQUAD-Phvntom-__dx__master,SQUAD-Phvntom-,SQUAD-Phvntom-,SQUAD-Phvntom-,master,14,14.3,dx,100.5144,SSS+,321,321,old,オンゲキ＆CHUNITHM,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Hainuwele__dx__master,Hainuwele,Hainuwele,Hainuwele,master,14,14.3,dx,100.5118,SSS+,321,321,old,オンゲキ＆CHUNITHM,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Trrricksters!!__dx__master,Trrricksters!!,Trrricksters!!,Trrricksters!!,master,14,14.3,dx,100.5029,SSS+,321,321,old,オンゲキ＆CHUNITHM,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Glorious Crown__std__master,Glorious Crown,Glorious Crown,Glorious Crown,master,14+,14.8,std,100.1903,SSS,320,320,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Chronomia__dx__master,Chronomia,Chronomia,Chronomia,master,14,14.2,dx,100.6156,SSS+,319,319,old,ゲーム＆バラエティ,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,デッドマンズバラッド__dx__master,デッドマンズバラッド,デッドマンズバラッド,デッドマンズバラッド,master,14,14.2,dx,100.607,SSS+,319,319,old,niconico＆ボーカロイド,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,BULK UP (GAME EXCLUSIVE EDIT)__dx__master,BULK UP (GAME EXCLUSIVE EDIT),BULK UP (GAME EXCLUSIVE EDIT),BULK UP (GAME EXCLUSIVE EDIT),master,14,14.2,dx,100.5755,SSS+,319,319,old,ゲーム＆バラエティ,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Cthugha__dx__master,Cthugha,Cthugha,Cthugha,master,14,14.2,dx,100.5463,SSS+,319,319,old,ゲーム＆バラエティ,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,LAMIA__dx__master,LAMIA,LAMIA,LAMIA,master,14+,14.7,dx,100.3897,SSS,318,318,old,オンゲキ＆CHUNITHM,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,雨露霜雪__dx__master,雨露霜雪,雨露霜雪,雨露霜雪,master,14+,14.6,dx,100.2947,SSS,318,316,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,GIGANTØMAKHIA__dx__master,GIGANTØMAKHIA,GIGANTØMAKHIA,GIGANTØMAKHIA,master,14+,14.7,dx,100.0199,SSS,317,317,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,R'N'R Monsta__dx__master,R'N'R Monsta,R'N'R Monsta,R'N'R Monsta,master,14,14.1,dx,100.7111,SSS+,317,317,old,オンゲキ＆CHUNITHM,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,FREEDOM DiVE (tpz Overcute Remix)__std__master,FREEDOM DiVE (tpz Overcute Remix),FREEDOM DiVE (tpz Overcute Remix),FREEDOM DiVE (tpz Overcute Remix),master,14,14.1,std,100.6698,SSS+,317,317,old,ゲーム＆バラエティ,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Don't Fight The Music__dx__master,Don't Fight The Music,Don't Fight The Music,Don't Fight The Music,master,14,14.1,dx,100.6356,SSS+,317,317,old,オンゲキ＆CHUNITHM,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Love's Theme of BADASS ～バッド・アス 愛のテーマ～__dx__master,Love's Theme of BADASS ～バッド・アス 愛のテーマ～,Love's Theme of BADASS ～バッド・アス 愛のテーマ～,Love's Theme of BADASS ~バッド・アス 愛のテーマ~,master,14,14.1,dx,100.5451,SSS+,317,317,old,ゲーム＆バラエティ,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,ViRTUS__dx__master,ViRTUS,ViRTUS,ViRTUS,master,14+,14.6,dx,100.3149,SSS,316,316,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,BREaK! BREaK! BREaK!__dx__master,BREaK! BREaK! BREaK!,BREaK! BREaK! BREaK!,BREaK! BREaK! BREaK!,master,14+,14.6,dx,100.231,SSS,316,316,old,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Titania__dx__master,Titania,Titania,Titania,master,14+,14.6,dx,100.1536,SSS,315,315,old,オンゲキ＆CHUNITHM,,,False
dlagusdnd3,https://maimai.shiftpsh.com/profile/dlagusdnd3/home,15964,15500-15999,MYTH Re：LEASE__dx__master,MYTH Re：LEASE,MYTH Re：LEASE,MYTH Re:LEASE,master,14,14.5,dx,100.537,SSS+,326,326,new,ゲーム＆バラエティ,,,False
dlagusdnd3,https://maimai.shiftpsh.com/profile/dlagusdnd3/home,15964,15500-15999,Retribution ～ Cycle of Redemption ～__dx__master,Retribution ～ Cycle of Redemption ～,Retribution ～ Cycle of Redemption ～,Retribution ~ Cycle of Redemption ~,master,14,14.4,dx,100.6927,SSS+,324,324,new,ゲーム＆バラエティ,,,False
dlagusdnd3,https://maimai.shiftpsh.com/profile/dlagusdnd3/home,15964,15500-15999,Zitronectar__dx__master,Zitronectar,Zitronectar,Zitronectar,master,14,14.4,dx,100.7533,SSS+,321,324,new,オンゲキ＆CHUNITHM,,,False
dlagusdnd3,https://maimai.shiftpsh.com/profile/dlagusdnd3/home,15964,15500-15999,ニルヴの心臓__dx__master,ニルヴの心臓,ニルヴの心臓,ニルヴの心臓,master,14,14.3,dx,100.7033,SSS+,321,321,new,ゲーム＆バラエティ,,,False
